,Date,Kwartal,Price
0,2006-01-07,III 2006,"3,591"
1,2006-01-10,IV 2006,"5,369"
2,2007-01-01,I 2007,"6,499"
3,2007-01-04,II 2007,"6,785"
4,2007-01-07,III 2007,"7,065"
5,2007-01-10,IV 2007,"8,064"
6,2008-01-01,I 2008,"7,539"
7,2008-01-04,II 2008,"6,725"
8,2008-01-07,III 2008,"7,383"
9,2008-01-10,IV 2008,"7,023"
10,2009-01-01,I 2009,"6,626"
11,2009-01-04,II 2009,"6,522"
12,2009-01-07,III 2009,"6,502"
13,2009-01-10,IV 2009,"6,629"
14,2010-01-01,I 2010,"6,842"
15,2010-01-04,II 2010,"6,785"
16,2010-01-07,III 2010,"6,684"
17,2010-01-10,IV 2010,"6,564"
18,2011-01-01,I 2011,"6,869"
19,2011-01-04,II 2011,"6,789"
20,2011-01-07,III 2011,"6,686"
21,2011-01-10,IV 2011,"6,487"
22,2012-01-01,I 2012,"6,208"
23,2012-01-04,II 2012,"6,299"
24,2012-01-07,III 2012,"6,104"
25,2012-01-10,IV 2012,"5,931"
26,2013-01-01,I 2013,"6,031"
27,2013-01-04,II 2013,"6,166"
28,2013-01-07,III 2013,"6,227"
29,2013-01-10,IV 2013,"6,314"
30,2014-01-01,I 2014,"6,196"
31,2014-01-04,II 2014,"6,252"
32,2014-01-07,III 2014,"6,317"
33,2014-01-10,IV 2014,"6,213"
34,2015-01-01,I 2015,"6,307"
35,2015-01-04,II 2015,"6,352"
36,2015-01-07,III 2015,"6,486"
37,2015-01-10,IV 2015,"6,458"
38,2016-01-01,I 2016,"6,523"
39,2016-01-04,II 2016,"6,520"
40,2016-01-07,III 2016,"6,578"
41,2016-01-10,IV 2016,"6,662"
42,2017-01-01,I 2017,"6,576"
43,2017-01-04,II 2017,"6,687"
44,2017-01-07,III 2017,"6,874"
45,2017-01-10,IV 2017,"6,829"
46,2018-01-01,I 2018,"6,980"
47,2018-01-04,II 2018,"7,128"
48,2018-01-07,III 2018,"7,341"
49,2018-01-10,IV 2018,"7,525"
50,2019-01-01,I 2019,"7,674"
51,2019-01-04,II 2019,"7,865"
52,2019-01-07,III 2019,"8,018"
53,2019-01-10,IV 2019,"8,221"
54,2020-01-01,I 2020,"8,500"
55,2020-01-04,II 2020,"8,391"
56,2020-01-07,III 2020,"8,752"
57,2020-01-10,IV 2020,"8,830"
58,2021-01-01,I 2021,"9,153"
59,,,
60,,,
61,,,
