date,price
2001-08-17,1.08
2001-09-16,2.02
2001-10-16,2.47
2001-11-15,2.84
2001-12-15,1.96
2002-01-14,2.11
2002-02-13,2.79
2002-03-15,1.63
2002-04-14,2.87
2002-05-14,1.37
2002-06-13,2.7
2002-07-13,1.06
2002-08-12,1.08
2002-09-11,1.27
2002-10-11,1.48
2002-11-10,1.34
2002-12-10,1.17
2003-01-09,1.25
2003-02-08,1.52
2003-03-10,2.82
2003-04-09,2.13
2003-05-09,1.08
2003-06-08,2.66
2003-07-08,2.2
2003-08-07,2.64
2003-09-06,2.32
2003-10-06,1.54
2003-11-05,2.97
2003-12-05,1.3
2004-01-04,2.73
2004-02-03,2.0
2004-03-04,2.61
2004-04-03,2.49
2004-05-03,1.57
2004-06-02,1.93
2004-07-02,2.82
2004-08-01,1.51
2004-08-31,1.6
2004-09-30,2.56
2004-10-30,1.08
2004-11-29,1.28
2004-12-29,1.84
2005-01-28,1.52
2005-02-27,2.03
2005-03-29,2.49
2005-04-28,1.86
2005-05-28,1.7
2005-06-27,1.46
2005-07-27,1.5
2005-08-26,1.25
2005-09-25,2.56
2005-10-25,2.57
2005-11-24,1.99
2005-12-24,1.02
2006-01-23,1.78
2006-02-22,1.7
2006-03-24,2.75
2006-04-23,2.02
2006-05-23,1.13
2006-06-22,2.61
2006-07-22,2.95
2006-08-21,2.19
2006-09-20,1.12
2006-10-20,1.05
2006-11-19,2.54
2006-12-19,2.1
2007-01-18,1.95
2007-02-17,1.25
2007-03-19,1.83
2007-04-18,2.07
2007-05-18,1.88
2007-06-17,2.7
2007-07-17,2.77
2007-08-16,1.79
2007-09-15,1.67
2007-10-15,2.15
2007-11-14,2.91
2007-12-14,2.77
2008-01-13,2.06
2008-02-12,2.08
2008-03-13,1.91
2008-04-12,2.1
2008-05-12,2.59
2008-06-11,2.85
2008-07-11,2.99
2008-08-10,1.72
2008-09-09,2.56
2008-10-09,1.3
2008-11-08,2.47
2008-12-08,2.58
2009-01-07,2.76
2009-02-06,2.5
2009-03-08,2.14
2009-04-07,2.73
2009-05-07,2.74
2009-06-06,2.78
2009-07-06,2.9
2009-08-05,1.18
2009-09-04,2.35
2009-10-04,1.31
2009-11-03,2.8
2009-12-03,1.19
2010-01-02,2.78
2010-02-01,1.04
2010-03-03,1.24
2010-04-02,2.18
2010-05-02,1.57
2010-06-01,1.18
2010-07-01,2.26
2010-07-31,1.01
2010-08-30,1.19
2010-09-29,2.96
2010-10-29,1.38
2010-11-28,2.75
2010-12-28,2.15
2011-01-27,2.17
2011-02-26,2.03
2011-03-28,1.01
2011-04-27,2.3
2011-05-27,1.08
2011-06-26,1.24
2011-07-26,1.54
2011-08-25,2.56
2011-09-24,2.33
2011-10-24,1.45
2011-11-23,2.34
2011-12-23,2.12
2012-01-22,1.63
2012-02-21,1.03
2012-03-22,2.79
2012-04-21,1.11
2012-05-21,2.7
2012-06-20,2.52
2012-07-20,2.68
2012-08-19,2.69
2012-09-18,1.15
2012-10-18,1.34
2012-11-17,1.54
2012-12-17,2.9
2013-01-16,1.08
2013-02-15,1.54
2013-03-17,2.15
2013-04-16,1.13
2013-05-16,2.75
2013-06-15,2.67
2013-07-15,1.55
2013-08-14,1.02
2013-09-13,1.13
2013-10-13,2.25
2013-11-12,1.05
2013-12-12,1.79
2014-01-11,2.98
2014-02-10,2.84
2014-03-12,1.17
2014-04-11,1.71
2014-05-11,2.1
2014-06-10,2.05
2014-07-10,1.05
2014-08-09,2.15
2014-09-08,1.1
2014-10-08,2.24
2014-11-07,2.9
2014-12-07,1.23
2015-01-06,1.29
2015-02-05,2.28
2015-03-07,1.11
2015-04-06,1.78
2015-05-06,1.84
2015-06-05,2.03
2015-07-05,1.64
2015-08-04,2.56
2015-09-03,2.1
2015-10-03,2.43
2015-11-02,1.67
2015-12-02,1.17
2016-01-01,2.21
2016-01-31,1.04
2016-03-01,1.95
2016-03-31,1.12
2016-04-30,1.36
2016-05-30,2.41
2016-06-29,2.28
2016-07-29,1.48
2016-08-28,1.78
2016-09-27,2.74
2016-10-27,1.64
2016-11-26,1.27
2016-12-26,2.95
2017-01-25,1.72
2017-02-24,1.06
2017-03-26,2.0
2017-04-25,1.64
2017-05-25,1.0
2017-06-24,1.94
2017-07-24,2.79
2017-08-23,1.86
2017-09-22,2.33
2017-10-22,2.15
2017-11-21,1.09
2017-12-21,1.75
2018-01-20,2.35
2018-02-19,1.04
2018-03-21,1.91
2018-04-20,1.83
2018-05-20,1.32
2018-06-19,1.65
2018-07-19,1.14
2018-08-18,2.87
2018-09-17,1.08
2018-10-17,2.41
2018-11-16,2.98
2018-12-16,1.2
2019-01-15,2.91
2019-02-14,1.25
2019-03-16,2.91
2019-04-15,2.0
2019-05-15,1.92
2019-06-14,1.52
2019-07-14,1.6
2019-08-13,1.93
2019-09-12,1.36
2019-10-12,2.38
2019-11-11,2.46
2019-12-11,2.33
2020-01-10,1.4
2020-02-09,2.25
2020-03-10,1.19
2020-04-09,1.26
2020-05-09,1.23
2020-06-08,2.29
2020-07-08,2.98
2020-08-07,1.69
2020-09-06,2.97
2020-10-06,2.27
2020-11-05,1.98
2020-12-05,1.51
2021-01-04,1.07
2021-02-03,2.44
2021-03-05,1.45
2021-04-04,1.8
2021-05-04,1.34
2021-06-03,2.95
2021-07-03,1.5
2021-08-02,2.84
